src,trg
write a python program to add two numbers,""" \n num1  =  1 . 5 \n num2  =  6 . 3 \n sum  =  num1  +  num2 \n print ( f'Sum  :    { sum } ' ) """
write a python function to add two user provided numbers and return the sum,"' \n def add _ two _ numbers ( num1 ,  num2 )   :   \n  \t sum  =  num1  +  num2 \n  \t return sum'"
Write a python function to merge two given lists into one,"' \n def merge _ lists ( l1 ,  l2 )   :   \n  \t return l1  +  l2'"
Write a python function that prints the factors of a given number,"' \n def print _ factors ( x )   :   \n  \t print ( f""The factors of  { x }  are  :  "" )  \n  \t for i in range ( 1 ,  x  +  1 )   :   \n  \t\t if x  %  i  =  =  0  :   \n  \t\t\t print ( i ) '"
"Write a python function to print whether a number is negative, positive or zero","' \n def check _ pnz ( num )   :   \n  \t if num  >  0  :   \n  \t\t print ( ""Positive number"" )  \n  \t elif num  =  =  0  :   \n  \t\t print ( ""Zero"" )  \n  \t else  :   \n  \t\t print ( ""Negative number"" ) '"
Write a program to print the multiplication table of a given number,"' \n num  =  9 \n for i in range ( 1 ,  11 )   :   \n  \t print ( f"" { num }  x  { i }   =   { num * i } "" ) '"
Write a program to filter the numbers in a list which are divisible by a given number,"' \n my _ list  =   [ 11 ,  45 ,  74 ,  89 ,  132 ,  239 ,  721 ,  21 ]  \n num  =  3 \n result  =  list ( filter ( lambda x  :    ( x  %  num  =  =  0 )  ,  my _ list )  )  \n print ( f""Numbers divisible by  { num }  are  { result } "" ) '"
Write a program to swap first and last elements in a list,"' \n my _ list  =   [ 1 ,  2 ,  3 ,  4 ,  5 ,  6 ]  \n my _ list [ 0 ]  ,  my _ list [  - 1 ]   =  my _ list [  - 1 ]  ,  my _ list [ 0 ] '"
"Write a python function to find the area of a circle, whose radius is given",' \n def findArea ( r )   :    \n  \t PI  =  3 . 142 \n  \t return PI  *   ( r * r ) '
Write a program to print the sum of squares of first n natural numbers,"' \n n  =  21 \n sum _ n  =  0 \n for i in range ( 1 ,  n + 1 )   :   \n  \t sum _ n  +  =  i *  * 2 \n print ( sum _ n ) '"
Write a program to print the length of a list,"' \n my _ list  =   [ 1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ]  \n print ( len ( my _ list )  ) '"
Write a pythno function to print the length of a given tuple,"' \n my _ tuple  =   ( 1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 )  \n print ( len ( my _ tuple )  ) '"
"Write a python function to print the elements of a given list, one element in a line",' \n def custom _ print ( l )   :   \n  \t for  _  in l  :   \n  \t\t print (  _  ) '
Write a python function to remove all the odd numbers from a list and return the remaining list,"' \n def remove _ odd ( my _ list )   :   \n  \t result  =  list ( filter ( lambda x  :    ( x  %  2  =  =  0 )  ,  my _ list )  )  \n  \t return result'"
Write a python function to remove all the even numbers from a list and return the remaining list,"' \n def remove _ even ( my _ list )   :   \n  \t result  =  list ( filter ( lambda x  :    ( x  %  2  !  =  0 )  ,  my _ list )  )  \n  \t return result'"
Write a function that takes two lists as input and returns a zipped list of corresponding elements,"' \n def zip _ list ( list1 ,  list2 )   :   \n  \t return list ( zip ( list1 ,  list2 )  ) '"
Write a program to to print the contents of a given file,""" \n file _ name  =  'temp . txt' \n with open ( file _ name ,  'r' )  as f  :   \n  \t print ( f . read (  )  ) """
Write a program to print the unique elements in a list,"' \n my _ list  =   [ 1 ,  2 ,  4 ,  5 ,  2 ,  3 ,  1 ,  5 ,  4 ,  7 ,  8 ,  2 ,  4 ,  5 ,  2 ,  7 ,  3 ]  \n print ( set ( my _ list )  ) '"
Write a function that returns the sum of digits of a given number,' \n def digisum ( num )   :   \n  \t sum _  = 0 \n  \t while num  >  0  :   \n  \t\t dig  =  num  %  10 \n  \t\t sum _  +  = dig \n  \t\t num /  /  = 10 \n  \t return sum _ '
"Write a function that prints a given value, n number of times","' \n def print _ n ( val ,  n )   :   \n  \t for  _  in range ( n )   :   \n  \t\t print ( val ) '"
Write a function to find the area of sqaure,' \n def square _ area ( a )   :   \n  \t return a * a'
Write a function to find the perimeter of a square,' \n def square _ perimeter ( a )   :   \n  \t return 4 * a'
Write a function to find the area of rectangle,"' \n def rectangle _ area ( l ,  b )   :   \n  \t return l * b'"
Write a function to find the permieter of a rectangle,"' \n def rectangle _ perimeter ( l ,  b )   :   \n  \t return 2 *  ( l + b ) '"
"Write a python function to find the area of a circle, whose radius is given",' \n def findArea ( r )   :    \n  \t PI  =  3 . 142 \n  \t return PI  *   ( r * r ) '
Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.,' \n def calc _ elect _ bill ( units )   :   \n  \t if units  >  0  :   \n  \t\t if units  <  =  750  :   \n  \t\t\t return 5 * units \n  \t\t else  :   \n  \t\t\t return 5 *  ( 750 )   +  7 *  ( units - 750 )  \n  \t else  :   \n  \t\t return  - 1'
"Write a function to return day of a week, given the number",""" \n def give _ day ( n )   :   \n  \t day _ dict  =   { 1  :   'Sunday' ,  2  :   'Monday' ,  3  :   'Tuesday' ,  4  :   'Wednesday' ,  5  :   'Thursday' ,  6  :   'Friday' ,  7  :   'Saturday' }  \n  \t return day _ dict [ n ] """
Write a program to calculate and print the volume of a cylender,' \n r  =  3 \n h  =  5 \n pi  =  3 . 14 \n volume  =  pi *  ( r *  * 2 )  * h \n print ( volume ) '
Write a function to calculate and return the average of input numbers,' \n def calc _ avg (  * args )   :   \n  \t if len ( args )   >  0  :   \n  \t\t return sum ( args )  / len ( args )  \n  \t return None'
"Write a function to calculate compound interest, given p, r, t","' \n def comp _ int ( p ,  r ,  t )   :   \n  \t amount  =  p  *   ( 1  +   ( r / 100 )  )  *  * t \n  \t interest  =  amount  -  p \n  \t return interest'"
"Write a function to calculate simple interest, given p, r, t","' \n def simp _ int ( p ,  r ,  t )   :   \n  \t interest  =   ( p * r * t )  / 100 \n  \t return interest'"
"Write a program to print a given string, replacing all the vowels with '_'","' \n st  =  ""Where is this going ?  Could you please help me understand ! "" \n vowels  =  ""AEIOUaeiou"" \n for v in vowels  :   \n  \t st  =  st . replace ( v ,  \' _ \' )  \n print ( st ) '"
Write a functio to check whether a number if perfect or not,"' \n def is _ perfect ( n )   :   \n  \t sum _   =  0 \n  \t for i in range ( 1 ,  n /  / 2  +  1 )   :   \n  \t\t if n % i  =  =  0  :   \n  \t\t\t sum _  +  = i \n  \t if sum _   =  =  n  :   \n  \t\t return True \n  \t return False'"
"Write a program to find and print the area of a triangle, whose hight and width are given.",' \n h  =  12 \n w  =  11 \n area  =  0 . 5 * h * w \n print ( area ) '
"Write a function to find acceleration, given u, v and t","' \n def acc ( u ,  v ,  t )   :   \n  \t return  ( v - u )  / t'"
Write a lambda function to multiply two numbers,"' \n multiply  =  lambda a ,  b  :   a * b'"
Write a lambda function to add two numbers,"' \n add  =  lambda a ,  b  :   a + b'"
Write a lambda function that gives True if the input number is even otherwise False,' \n even  =  lambda a  :   True if a % 2  =  =  0 else False'
Write a lambda function to to give character grom it's ascii value,' \n ascii  =  lambda a  :   chr ( a ) '
Write a lambda function to that gives the number of digits in a number,' \n dig _ cnt  =  lambda a  :   len ( str ( a )  ) '
"Write a program to to check if a triangle is valid or not, given it's all three angles","' \n def is _ valid _ triangle _ angle ( a ,  b c )   :   \n  \t if a + b + c  =  =  180  :   \n  \t\t return True \n  \t return False'"
"Write a program to to check if a triangle is valid or not, given it's all three sides' length","' \n def is _ valid _ triangle _ length ( a ,  b c )   :   \n  \t if a > 0 and b > 0 and c > 0  :   \n  \t\t if a + b  >  c and a + c  >  b and b + c  >  a  :   \n  \t\t\t return True \n  \t return False'"
Write a lambda functio that gives the word count in a statement.,""" \n count _ word  =  lambda s  :   len ( s . split ( ' ' )  ) """
Write a program to extract and print digits of a number in reverse order. The number is input from user.,"' \n num  =  int ( input ( ""Enter a number with multiple digit  :   "" )  )  \n n = 0 \n while num > 0  :   \n  \t a  =  num % 10 \n  \t num  =  num  -  a \n  \t num  =  num / 10 \n  \t print ( int ( a )  , end = """" )  \n  \t n  =  n  +  1'"
Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required,' \n def hanoi ( x )   :   \n  \t if x  =  =  1  :   \n  \t\t return 1 \n  \t else  :   \n  \t\t return 2 * hanoi ( x - 1 )   +  1'
Write a lambda function to convert centimeters to inches,' \n cm _ to _ inch  =  lambda x  :   x / 2 . 54'
Write a lambda function to find the union of two lists,"' \n union  =  lambda a ,  b  :   list ( set ( a )  | set ( b )  ) '"
Write a lambda function to find the intersection of two lists,"' \n intersection  =  lambda a ,  b  :   list ( set ( a )  & set ( b )  ) '"
Write a program that adds the square of two numbers and prints it,' \n a  =  32 \n b  =  21 \n result  =  a *  * 2  +  b *  * 2 \n print ( result ) '
Write a python function to concat the input strings and there's also a choice for seperator,""" \n def con _ str (  * args ,  sep  =  ' ' )   :   \n  \t return sep . join ( args ) """
Write a program to print all the even numbers in a range,"' \n r1 ,  r2  =  1 ,  28 \n for  _  in range ( r1 ,  r2 + 1 )   :   \n  \t if  _  % 2  =  =  0  :   \n  \t print (  _  ) '"
write a program to display date and time,"' \n import datetime \n now  =  datetime . datetime . now (  )  \n time =  now . strftime ( "" % Y -  % m -  % d  % H  :   % M  :   % S"" )  \n print ( f""Current date and time   :    { time } "" ) '"
write a program to return the absolute value,""" \n num  =   - 10 \n print ( f'Absolute of  { num }  is  { abs ( num )  } ' ) """
write a python program to check the length of list,""" \n sample _ list  =   [ 'a' , 'b' , 'c' ]  \n print ( f'length of sample _ list is  { len ( sample _ list )  } ' ) """
write a Python program to convert Python objects into JSON strings.,"' \n import json \n python _ dict  =    { ""name""  :   ""David"" ,  ""age""  :   6 ,  ""class""  :  ""I"" }  \n json _ dict  =  json . dumps ( python _ dict ,  sort _ keys = True ,  indent = 4 )  \n print ( f""json dict   :    { json _ dict } "" ) '"
write a Python program to create multiple list,""" \n obj  =   {  }  \n for i in range ( 1 ,  11 )   :   \n  \t obj [ str ( i )  ]   =   [  ]  \n print ( f'create multiple list  :   { obj } ' ) """
write a Python program to merge two dictionaries,""" \n d1  =   { 'a'  :   100 ,  'b'  :   200 }  \n d2  =   { 'x'  :   300 ,  'y'  :   200 }  \n d  =  d1 . copy (  )  \n d . update ( d2 )  \n print ( f'merge two dictionaries  :   { d } ' ) """
write a Python program to Sum all the items in a dictionary,""" \n my _ dict  =   { 'data1'  :  100 , 'data2'  :   - 54 , 'data3'  :  247 }  \n print ( f'Sum all the items in a dictionary  :   { sum ( my _ dict . values (  )  )  } ' ) """
write a python program to do nothing for a condition,' \n if 1  +  1  =  =  2  :   \n  \t pass  #  Nothing'
write a python program to make use of enumerate method,"' \n for count ,  value in enumerate ( obj )   :   \n  \t print ( count ,  value ) '"
write a python program to make use of setdefault for missing dictionary keys,""" \n a _ dict  =   { 'a'  :  1 }  \n a _ dict . setdefault ( 'b' , 2 )  \n print ( f'After appending with new value  :   { a _ dict } ' ) """
write a python program to make use of maps,""" \n def square ( number )   :   \n  \t return number  *  *  2 \n numbers  =   [ 1 ,  2 ,  3 ,  4 ,  5 ]  \n squared  =  map ( square ,  numbers )  \n print ( f'mapped numbers  :   { list ( squared )  } ' ) """
write a python program to make use of modulo operator,""" \n print ( f'modulo 15  %  4  :   Sol -  >  { 15  %  4 } ' ) """
write a python program to explain enclosing and global scope,""" \n x  =  'global' \n def f (  )   :   \n  \t x  =  'enclosing' \n  \t def g (  )   :   \n  \t\t print ( x )  \n  \t g (  )  \n  \t return x \n obj1  =  f (  )  \n print ( 'explain global scope  :  ' , obj1 ) """
write a python program to expain local and global scope,""" \n def f1 (  )   :   \n  \t x  =  'enclosing' \n  \t def g (  )   :   \n  \t\t x  =  'local' \n  \t\t return x \n  \t x = g (  )  \n  \t return x \n obj2  =  f1 (  )  \n print ( 'explain local scope  :  ' , obj2 ) """
write a python program to make use of regular expression for matching,""" \n import re \n print ( 'Find the characters in the given string  :  ' , re . findall ( r' [ a - z ]  + ' ,  '123FOO456' ,  flags = re . IGNORECASE )  ) """
write a python program to make use of regular expression for matching,""" \n s  =  'foo123bar' \n m  =  re . findall ( '123' ,  s )  \n print ( 'find the number position  :  ' , m ) """
